##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	NGS200B_25_192564_FC_F_BRCAv2_Pan1449_S1_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	663216
Sequences flagged as poor quality	0
Sequence length	151
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	22	0.08264255043611968
1103	23	-0.30489194855768886
1103	24	-0.2140287431414052
1103	25	0.2550661524412803
1103	26	0.40806496792801994
1103	27	0.3139728956439498
1103	28	0.30034071256932293
1103	29	0.4422830027499387
1103	30	0.47468725026319447
1103	31	0.4916960719675316
1103	32	0.3966983573141576
1103	33	0.5160597004625913
1103	34	0.41887501065163235
1103	35	0.5096298846915559
1103	36	0.25767232709089427
1103	37	0.3874282350008187
1103	38	0.4287348044479131
1103	39	0.37861463297547715
1103	40	0.3537582746643224
1103	41	0.41890216820620907
1103	42	0.5002228146458165
1103	43	0.3758790507075034
1103	44	0.54015519083989
1103	45	0.5325249182147758
1103	46	0.586960695460526
1103	47	0.2697666914228307
1103	48	0.6167869903584773
1103	49	0.6644282991147463
1103	50	0.4473959576612856
1103	51	0.3352100460792684
1103	52	0.39804914104755795
1103	53	0.33662759761992334
1103	54	0.47261223834473043
1103	55	0.26402113226908597
1103	56	0.37642084585303337
1103	57	0.5058864186603955
1103	58	0.49420087985635064
1103	59	0.5514764133057568
1103	60	0.5226676038232156
1103	61	0.5341664523524727
1103	62	0.5177967251833309
1103	63	0.41717548628120227
1103	64	0.4037627299619828
1103	65	0.3779973917153967
1103	66	0.38001937098285055
1103	67	0.38391312370891484
1103	68	0.38138635807899846
1103	69	0.4396696983287498
1103	70	0.528608855819904
1103	71	0.44581409690532325
1103	72	0.5127739298300753
1103	73	0.6548251731408854
1103	74	0.724373079605563
1103	75	0.4507718773469307
1103	76	0.7395322265728907
1103	77	0.6349467495301582
1103	78	0.4495907823934715
1103	79	0.2810098836823016
1103	80	0.31748296959688105
1103	81	0.4303811065151635
1103	82	0.45645615428625774
1103	83	0.3989537796122633
1103	84	0.19488652207733992
1103	85	0.5097499337509461
1103	86	0.6592078365417962
1103	87	0.46074546142330775
1103	88	0.3048341845131759
1103	89	0.362860480717103
1103	90	0.3176904552496609
1103	91	0.30618667195778926
1103	92	0.36366775194206724
1103	93	0.33661754111803077
1103	94	0.5548523709422071
1103	95	0.5140032582123695
1103	96	-0.016149472588693925
1103	97	0.6744257012153696
1103	98	0.5779746093157883
1103	99	0.5141183706490935
1103	100	0.34436079433913847
1103	101	0.4564794725132586
1103	102	0.6009540602960683
1103	103	0.4705226329332959
1103	104	0.08925650468505353
1103	105	0.25317783650227454
1103	106	0.2788232905428103
1103	107	0.4663188951699908
1103	108	0.30459456986114475
1103	109	0.40416157150404786
1103	110	0.4835390913659978
1103	111	0.40708405363662337
1103	112	0.49225551935814593
1103	113	0.5728188122371449
1103	114	0.4427910387312153
1103	115	0.5506304481371416
1103	116	0.47048505404502095
1103	117	0.8770483932979971
1103	118	0.6358879337276448
1103	119	0.7351766807930105
1103	120	0.18055263644960462
1103	121	0.5420935116012231
1103	122	0.5298479088631751
1103	123	0.38591932258099604
1103	124	0.3781296357108985
1103	125	0.48698936987908326
1103	126	0.5088294398430264
1103	127	0.38916432690196245
1103	128	0.3517796011293086
1103	129	0.35496155493947157
1103	130	0.5520570103351474
1103	131	0.5030904638661085
1103	132	0.3134040222340886
1103	133	0.32713287343209885
1103	134	0.3308221134629292
1103	135	0.49198661119002907
1103	136	0.5339622203273606
1103	137	0.17678576726714113
1103	138	0.34324404404575404
1103	139	0.6303821280958886
1103	140	0.16109772563657287
1103	141	0.19300972344292688
1103	142	0.20775372137811132
